,Base,Base_weight,Base2,Base2_weight,Prep,Prep2,Calc.T,Calc.t,Support,Support2,Support_frac,Support2_frac,Promoter,Promoter_weight,Promoter2,Promoter2_weight,T,H2,O2,CO,H2O,CO2,CH4,TOS,F/W,conversion
66,Au,3.0,0,0.0,DP,0,400,2.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,160.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.141
67,Au,3.0,0,0.0,DP,0,400,2.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,240.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,3.24
68,Au,3.0,0,0.0,DP,0,400,2.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,280.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,11.4
69,Au,3.0,0,0.0,DP,0,400,2.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,33.4
70,Au,3.0,0,0.0,DP,0,400,2.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,360.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,25.2
71,Au,3.0,0,0.0,CP,0,25,0.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.0
72,Au,3.0,0,0.0,CP,0,25,0.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,240.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.141
73,Au,3.0,0,0.0,CP,0,25,0.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,280.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,2.39
74,Au,3.0,0,0.0,CP,0,25,0.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,10.1
75,Au,3.0,0,0.0,CP,0,25,0.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,361.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,22.7
76,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,120.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,0.223
77,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,160.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,0.467
78,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,0.0
79,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,240.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,14.3
80,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,280.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,41.4
81,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,77.5
82,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,360.0,0.0,0.0,4.0,20.0,0.0,0.0,60.0,2.0,85.5
83,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,100.0,0.0,0.0,0.5,2.6,0.0,0.0,60.0,2.0,0.832
84,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,150.0,0.0,0.0,0.5,2.6,0.0,0.0,60.0,2.0,1.12
85,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,0.5,2.6,0.0,0.0,60.0,2.0,5.82
86,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,250.0,0.0,0.0,0.5,2.6,0.0,0.0,60.0,2.0,14.2
87,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,300.0,0.0,0.0,0.5,2.6,0.0,0.0,60.0,2.0,17.7
88,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,360.0,0.0,0.0,0.5,2.6,0.0,0.0,60.0,2.0,18.3
89,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,100.0,0.0,0.0,1.0,2.6,0.0,0.0,60.0,2.0,5.08
90,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,150.0,0.0,0.0,1.0,2.6,0.0,0.0,60.0,2.0,3.46
91,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,1.0,2.6,0.0,0.0,60.0,2.0,15.4
92,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,250.0,0.0,0.0,1.0,2.6,0.0,0.0,60.0,2.0,60.4
93,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,300.0,0.0,0.0,1.0,2.6,0.0,0.0,60.0,2.0,89.4
